Date of Sale,Address,Postal Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Number of bedrooms,Number of bathrooms
03/01/2021,"16 BURLEIGH COURT, BURLINGTON ROAD, DUBLIN 4",Dublin 4,Dublin,"450,000",No,No,Second-Hand Dwelling house /Apartment,2,1
04/01/2021,"12 Oileain Na Cranoige.Cranogue Isl, Balbutcher Lane, BALLYMUN",Dublin 11,Dublin,"192,951",No,Yes,New Dwelling house /Apartment,2,1
04/01/2021,"17 Belltree Lane, Beltree, Clonggriffin",,Dublin,"343,612",No,Yes,New Dwelling house /Apartment,2,1
04/01/2021,"27 Beresford Avenue, Donabate, County Dublin",,Dublin,"345,133",No,Yes,New Dwelling house /Apartment,2,1
04/01/2021,"3 KILLOSSERY, ROWLESTOWN, DUBLIN",,Dublin,"378,000",Yes,No,Second-Hand Dwelling house /Apartment,2,1
04/01/2021,"3 WOODVIEW HOUSE, GLENALBYN RD, STILLORGAN",,Dublin,"252,000",No,No,Second-Hand Dwelling house /Apartment,2,1
04/01/2021,"43 ASHLAWN PARK, BALLYBRACK, COUNTY DUBLIN",,Dublin,"330,000",No,No,Second-Hand Dwelling house /Apartment,2,1
04/01/2021,"7 NORTONS AVE, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,"386,000",No,No,Second-Hand Dwelling house /Apartment,3,1
04/01/2021,"85 BELMAYNE PARK SOUTH, BALGRIFFIN, PARK SOUTH DUBLIN 13",Dublin 13,Dublin,"335,000",No,No,Second-Hand Dwelling house /Apartment,3,1
04/01/2021,"93 BALLYFERMOT CRESCENT, DUBLIN 10, DUBLIN",Dublin 10,Dublin,"45,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"10 MOUNTTOWN VILLAS, MOUNTTOWN LOWER, GLENAGEARY",,Dublin,"435,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"12 MARINE WALK, MARINE ROAD, DN LAOGHAIRE",,Dublin,"389,427",No,Yes,New Dwelling house /Apartment,3,1
05/01/2021,"12 SHENICK RD, SKERRIES, DUBLIN",,Dublin,"415,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"14 Walker Green, Parkside, Balgriffin",Dublin 13,Dublin,"343,612",No,Yes,New Dwelling house /Apartment,3,1
05/01/2021,"17 Walker Green, Parkside, Balgriffin",Dublin 13,Dublin,"345,814",No,Yes,New Dwelling house /Apartment,3,1
05/01/2021,"18 DRYNAM CRESCENT, DRYNAM HALL, KETTLE'S LANE",,Dublin,"427,500",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"185 CLONSILLA ROAD, BLANCHARDSTOWN, DUBLIN 15",,Dublin,"350,000",Yes,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"27 ROWAN HOUSE, MESPIL ESTATE, SUSSEX RD DUBLIN 4",Dublin 4,Dublin,"229,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"29 CHERRYWOOD GROVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"250,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"29 FOXES GROVE, SHANKILL, DUBLIN",Dublin 18,Dublin,"520,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"3 HARELAWN PARK, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"230,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"34 ORBY PARK, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,"850,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"4 CORBALLY AVE, WESTBROOK LAWNS, DUBLIN 24",Dublin 24,Dublin,"38,000",Yes,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"41 HAYWORTH TERRACE, ONGAR, CLONSILLA",Dublin 15,Dublin,"285,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"52 Graydon Crescent, Graydon, Newcastle",,Dublin,"348,018",No,Yes,New Dwelling house /Apartment,3,1
05/01/2021,"52 MOERAN RD, OFF CROMWELLSFORD RD, WALKINSTOWN",Dublin 12,Dublin,"320,000",No,No,Second-Hand Dwelling house /Apartment,3,1
05/01/2021,"55 HILLBROOK WOODS, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,"208,000",No,No,Second-Hand Dwelling house /Apartment,3,1
